Who invented Java Programming?,Java,1,James Gosling,Guido van Rossum,Dennis Ritchie
Which statement is true about Java?,Java,1,Java is a platform-independent programming language,Java is a sequence-dependent programming language,Java is a code dependent programming language
"Which component is used to compile, debug and execute the java programs?",Java,1,JDK,JVM,JRE
Which one of the following is not a Java feature?,Java,2,Use of pointers,Object-oriented,Dynamic and Extensible
Which of these cannot be used for a variable name in Java?,Java,2,keyword,identifier & keyword,none of the mentioned
What is the range of short data type in Java?,Java,1,-32768 to 32767,-2147483648 to 2147483647,-128 to 127
What is the return type of a method that does not return any value?,Java,1,void,double,float
What is the process of defining more than one method in a class differentiated by method signature?,Java,2,Function overloading,Function overriding,None of the mentioned
Which of the following is a method having same name as that of it’s class?,Java,1,constructor,finalize,class
Which of the following has the highest memory requirement?,Java,2,JVM,Stack,Class
Where is a new object allocated memory?,Java,1,Young space,Old space,JVM
String in Java is a?,Java,2,class,object,character array
Which of these method of String class is used to obtain character at specified index?,Java,1,charAt(),Charat(),char()
Which of these keywords is used to refer to member of base class from a subclass?,Java,2,super,upper,this
Which of these class is superclass of every class in Java?,Java,1,Object class,String class,Abstract class
Which of these method of Object class can clone an object?,Java,1,Object clone(),Objectcopy(),clone()
Which of these method of Object class is used to obtain class of an object at run time?,Java,2,Class getclass(),void getclass(),get()
Which of this keyword must be used to inherit a class?,Java,2,extends,extent,super
A class member declared protected becomes a member of subclass of which type?,Java,1,private member,public member,static member
Which of these is correct way of inheriting class A by class B?,Java,2,class B extends A {},class B + class A {},class B inherits class A {}
Which of the below does not implement Map interface?,Java,2,Vector,Hashtable,HashMap
What happens if we put a key object in a HashMap which exists?,Java,2,The new object replaces the older object,The old object is removed from the map,The new object is discarded
"While finding the correct location for saving key value pair, how many times the key is hashed?",Java,1,2,1,3
What is the use of try & catch?,Java,1,All of the mentioned,It prevents automatic terminating of the program in cases when an exception occurs,It allows us to manually handle the exception
Which of these keywords are used for the block to be examined for exceptions?,Java,1,try,catch,throw
JUnits are used for which type of testing?,Java,2,Unit Testing,System Testing,Integration Testing
Which of the below statement about JUnit is false?,Java,2,They cannot be run automatically,It is an open source framework,It provides test runners for running test
How constructor can be used for a servlet?,Java,2,Initialization and Constructor function,Setup() method,Constructor function
This set of Java Multiple Choice Questions & Answers (MCQs) focuses on “Java 8 features”.,Java,1,Serialization,Lambda Expression,Stream API
What is the return type of lambda expression?,Java,2,Function,Object,void
Which of the following is advantage of using JDBC connection pool?,Java,1,Better performance,Using less memory,Slow performance
Which of the following is advantage of using PreparedStatement in Java?,Java,2,Prevents SQL injection,Slow performance,Encourages SQL injection
Which class provides system independent server side implementation?,Java,2,ServerSocket,ServerReader,Socket
Which version of Java introduced annotation?,Java,1,Java 5,Java 8,Java 6
